iter	Passed	Remaining
215	471	1710
216	472	1704
217	473	1699
218	475	1694
219	476	1690
220	478	1684
221	479	1680
222	481	1676
223	482	1671
224	483	1666
225	485	1662
226	486	1657
227	488	1653
228	489	1648
229	490	1643
230	492	1638
231	493	1635
232	495	1631
233	496	1626
234	498	1622
235	499	1618
236	501	1614
237	503	1611
238	504	1607
239	506	1604
240	508	1600
241	509	1596
242	511	1593
243	513	1589
244	514	1585
245	516	1582
246	517	1578
247	519	1575
248	521	1571
249	523	1569
250	524	1565
251	526	1562
252	527	1558
253	529	1555
254	531	1552
255	532	1548
256	534	1545
257	536	1541
258	537	1537
259	539	1534
260	540	1530
261	541	1526
262	543	1523
263	544	1519
264	546	1516
265	548	1512
266	549	1509
267	551	1505
268	553	1502
269	554	1499
270	556	1496
271	557	1492
272	559	1489
273	560	1486
274	562	1483
275	564	1479
276	565	1475
277	566	1472
278	568	1469
279	570	1466
280	571	1463
281	573	1460
282	575	1457
283	576	1454
284	578	1450
285	579	1445
286	580	1442
287	581	1438
288	583	1435
289	585	1433
290	587	1430
291	589	1428
292	590	1424
293	591	1420
294	593	1417
295	594	1413
296	595	1410
297	597	1406
298	598	1404
299	600	1401
300	602	1398
301	604	1396
302	605	1393
303	607	1390
304	608	1387
305	610	1384
306	611	1381
307	613	1378
308	615	1375
309	616	1372
310	618	1369
311	619	1365
312	620	1362
313	622	1359
314	623	1356
315	624	1352
316	626	1349
317	627	1346
318	629	1343
319	630	1340
320	632	1337
321	633	1334
322	635	1331
323	636	1328
324	638	1325
325	639	1321
326	640	1318
327	642	1316
328	644	1313
329	645	1311
330	647	1308
331	649	1305
332	650	1302
333	651	1299
334	653	1296
335	654	1293
336	656	1291
337	657	1288
338	659	1286
339	661	1283
340	662	1280
341	664	1277
342	665	1275
343	667	1272
344	668	1269
345	670	1266
346	671	1263
347	672	1260
348	674	1257
349	675	1254
350	677	1251
351	678	1249
352	679	1246
353	681	1243
354	682	1240
355	684	1237
356	685	1234
357	686	1231
358	688	1228
359	689	1226
360	691	1223
361	692	1220
362	693	1217
363	695	1214
364	696	1211
365	697	1208
366	699	1206
367	700	1203
368	701	1200
369	703	1197
370	704	1194
371	705	1191
372	707	1188
373	708	1186
374	709	1183
375	711	1180
376	712	1177
377	714	1175
378	715	1172
379	716	1169
380	718	1166
381	719	1163
382	720	1161
383	722	1158
384	723	1155
385	724	1153
386	726	1150
387	727	1147
388	729	1145
389	730	1142
390	731	1139
391	733	1136
392	734	1134
393	735	1131
394	737	1128
395	738	1126
396	739	1123
397	740	1120
398	742	1118
399	743	1115
400	745	1113
401	746	1110
402	747	1107
403	749	1105
404	750	1102
405	752	1100
406	753	1097
407	754	1095
408	756	1092
409	757	1090
410	759	1087
411	760	1085
412	761	1082
413	763	1080
414	764	1077
415	765	1075
416	767	1072
417	768	1070
418	769	1067
419	771	1065
420	772	1062
421	774	1060
422	775	1057
423	776	1055
424	778	1052
425	779	1050
426	780	1047
427	782	1045
428	783	1042
429	784	1040
430	786	1037
431	787	1035
432	788	1033
433	790	1030
434	791	1028
435	793	1026
436	794	1023
437	795	1021
438	797	1018
439	798	1016
440	800	1014
441	801	1011
442	802	1009
443	804	1006
444	805	1004
445	806	1002
446	808	999
447	809	997
448	810	994
449	812	992
450	813	990
451	814	988
452	816	985
453	817	983
454	819	981
455	820	978
456	821	976
